no. MS;No.;Pericope;Intro;Intro.Remarks;Intro.Transl;Thales;Thales ID;Intro.Fol.A;;Intro.Col.A;Intro.Line.A;Intro.Fol.Z;Intro.Col.Z;Intro.Line.Z;Taksa;Taksa.Trans;Taksa.Remarks;Transl.remarks;Taksa.Fol.A;Taksa.Col.A;Taksa.Line.A;Taksa.Fol.Z;Taksa.Col.Z;Taksa.Line.Z;Taksa.Remarks;Siglum;Siglum;Link;Link;MS-List.link;Pericope.Fol.A;Pericope.Col.A;Pericope.Line.A;Pericope.Fol.Z;Pericope.Col.Z;Pericope.Line.Z;Cross reference (corpus) [to be filled in aut.];Remarks Cross reference (corpus);Abbreviation;Version;Version.Remarks;Version.Syriac;Version.Transl;Denomination;Literature;Literature.link;Codicology;Pericope.remarks;Ref.remarks.;Cross.ref.Lect;Transl.Cross.ref.;Addition before;Addition after;Addition.Fol.A;Addition.Col.A;Addition.Line.A;Addition.Fol.Z;Addition.Col.Z;Addition.Line.Z;Ref.Bible.MS;Other Remarks;Words.Margin;no. reading Dissertation K.D. Jenner;;Structure formula 1;Structure formula 2;Structure formula 3;Structure formula 4;Structure formula 5;Title lectionary MS;fol;col;line;fol;col;Line;Remarks on title
59;059-0124;Acts#04:32-05:11.;‎‏ ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ‏‎;;Acts of the Apostles;;;106a;;0;23;106a;0;24;ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܩܝܡܬܐ܀ ܘܡܬܩܪܐ ܚܕܬܐ;of the First (Day) one of the Week, the Second, of the Resurrection, also called the New;;;105b;0;22;105b;0;23;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0215;https://digi.vatlib.it/view/MSS_Vat.sir.24/0215;13l06;106a;0;23;107a;0;14;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0063;Gn#02:08-25.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;056a;;0;7;056a;0;7.;ܕܐܪܒܥܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܪܒܐ.;of the Fourth (Day) of the Week, of the First Week of the Great Fast;;;056a;0;6;056a;0;7;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0115;https://digi.vatlib.it/view/MSS_Vat.sir.24/0115;13l06;056a;0;7;057a;0;2;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0064;Js#02:12-24.;ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ;;The Book of Joshua bar Nun;;;057a;;0;3;057a;0;3;ܕܐܪܒܥܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܪܒܐ.;of the Fourth (Day) of the Week, of the First Week of the Great Fast;;;056a;0;6;056a;0;7;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0117;https://digi.vatlib.it/view/MSS_Vat.sir.24/0117;13l06;057a;0;3;057b;0;16.;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0103;Gn#39:07-40:23.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;091a;;0;13;091a;0;14;ܕܐܪܒܥܒܫܒܐ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕܨܘܡܐ ܪܒܐ;of the Fourth (Day) of the Week, of the Last Week of the Great Fast;;;091a;0;12;091a;0;13;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0185;https://digi.vatlib.it/view/MSS_Vat.sir.24/0185;13l06;091a;0;13;093a;0;1;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0104;Js#23:01b-16.;ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ;;The Book of Joshua bar Nun;;;093a;;0;2;093a;0;2;ܕܐܪܒܥܒܫܒܐ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕܨܘܡܐ ܪܒܐ;of the Fourth (Day) of the Week, of the Last Week of the Great Fast;;;091a;0;12;091a;0;13;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0189;https://digi.vatlib.it/view/MSS_Vat.sir.24/0189;13l06;093a;0;2;093b;0;25[ult];;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0043;Jl#01:01-13.;ܢܒܝܘܬܗ ܕܝܘܐܝܠ;;The Prophecy of Joel;;;038b;;0;12;038b;0;12;ܕܐܪܒܥܒܫܒܐ ܕܒܥܘܬܐ ܕܢܝܢܘܐ;of the Fourth (Day) of the Week, of the Rogation of Nineveh;;;038b;0;11;038b;0;12;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0080;https://digi.vatlib.it/view/MSS_Vat.sir.24/0080;13l06;038b;0;12;039a;0;16.;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0044;Jon#03:01-04:11.;ܢܒܝܘܬܗ ܕܝܘܢܢ;;The Prophecy of Jonah;;;039a;;0;17;039a;0;17;ܕܐܪܒܥܒܫܒܐ ܕܒܥܘܬܐ ܕܢܝܢܘܐ;of the Fourth (Day) of the Week, of the Rogation of Nineveh;;;038b;0;11;038b;0;12;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0081;https://digi.vatlib.it/view/MSS_Vat.sir.24/0081;13l06;039a;0;17;040a;0;24[ult];;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0117;Is#61:10-62:05.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ;;The Prophecy of Isaiah;;;102b;;0;15;102b;0;16;‎‏ܕܐܪܒܥܒܫܒܐ ܕܫܒܬ ܫ̈ܒܐ‏‎;of the Fourth (Day) of the Week, of the Week of Weeks;;;102b;0;15;102b;0;15;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0208;https://digi.vatlib.it/view/MSS_Vat.sir.24/0208;13l06;102b;0;15;103a;0;13.;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0118;Acts#04:23-31.;‎‏ ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ‏;;Acts of the Apostles;;;103a;;0;14;103a;0;14;‎‏ܕܐܪܒܥܒܫܒܐ ܕܫܒܬ ܫ̈ܒܐ‏‎;of the Fourth (Day) of the Week, of the Week of Weeks;;;102b;0;15;102b;0;15;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0209;https://digi.vatlib.it/view/MSS_Vat.sir.24/0209;13l06;103a;0;14;103b;0;10;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0083;Gn#13:08-18.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;074a;;0;15;074a;0;16;ܕܐܪܒܥܒܫܒܐ ܡܨܥܝܐ ܕܨܘܡܐ ܪܒܐ;of the Fourth (Day) of the Week, the Middle of the Great Fast;;;074a;0;15;074a;0;15;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0151;https://digi.vatlib.it/view/MSS_Vat.sir.24/0151;13l06;074a;0;15;074b;0;18.;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0084;Js#08:18-29.;ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ;;The Book of Joshua bar Nun;;;074b;;0;19;074b;0;19;ܕܐܪܒܥܒܫܒܐ ܡܨܥܝܐ ܕܨܘܡܐ ܪܒܐ;of the Fourth (Day) of the Week, the Middle of the Great Fast;;;074a;0;15;074a;0;15;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0152;https://digi.vatlib.it/view/MSS_Vat.sir.24/0152;13l06;074b;0;19;075b;0;9;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0111;Is#60:01-07.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ;;The Prophecy of Isaiah;;;098b;;0;22;098b;0;22;ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܗ ܕܡܪܢ;of the Great First (Day) of the Week of the Resurrection of our Lord;;;098b;0;21;098b;0;22;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0200;https://digi.vatlib.it/view/MSS_Vat.sir.24/0200;13l06;098b;0;22;099a;0;16;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0112;1Sm#02:01-10.;ܨܠܘܬܗ̇ ܕܚܢܐ;;The Prayer of Hannah;;;099a;;0;16;099a;0;16;ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܗ ܕܡܪܢ;of the Great First (Day) of the Week of the Resurrection of our Lord;;;098b;0;21;098b;0;22;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0201;https://digi.vatlib.it/view/MSS_Vat.sir.24/0201;13l06;099a;0;16;099b;0;14;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0109;Gn#22:01-19.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;097b;;0;2;097b;0;2;ܕܫܒܬܐ ܪܒܬܐ ܕܚܫܐ:;of the Great Sabbath of Passion;;;097b;0;1;097b;0;1.;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0198;https://digi.vatlib.it/view/MSS_Vat.sir.24/0198;13l06;097b;0;2;098a;0;24;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0110;Jon#01:01-02.+02:02-11.;ܢܒܝܘܬܗ ܕܝܘܢܢ;;The Prophecy of Jonah;;;098a;;0;24;098a;0;24;ܕܫܒܬܐ ܪܒܬܐ ܕܚܫܐ:;of the Great Sabbath of Passion;;;097b;0;1;097b;0;1.;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0199;https://digi.vatlib.it/view/MSS_Vat.sir.24/0199;13l06;098a;0;24;098b;0;21;;;;P;;;;N;;;;Jon#02:02ff is preceded by ܨܠܘܬܗ ܕܝܘܢܢ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0087;Gn#14:18-15:15.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;077a;;0;8;077a;0;8.;ܕܥܪܘܒܬܐ ܡܨܥܝܢܬܐ ܕܨܘܡܐ ܪܒܐ;of the middle Eve of Preparation, of the Great Fast;;;077a;0;7;077a;0;8;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0157;https://digi.vatlib.it/view/MSS_Vat.sir.24/0157;13l06;077a;0;8;078a;0;6;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0088;Js#09:01-14.;ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ;;The Book of Joshua bar Nun;;;078a;;0;7;078a;0;7;ܕܥܪܘܒܬܐ ܡܨܥܝܢܬܐ ܕܨܘܡܐ ܪܒܐ;of the middle Eve of Preparation, of the Great Fast;;;077a;0;7;077a;0;8;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0159;https://digi.vatlib.it/view/MSS_Vat.sir.24/0159;13l06;078a;0;7;078b;0;22;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0135;2Rg#02:01-15.;ܟܬܒܐ ܕܣܦܪ ܡܠܟ̈ܘܬܐ;;The Codex of the Book of Reigns;;;114a;;0;6;114a;0;6.;‎‏ܕܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܣܘܠܩܗ ܕܡܪܢ ܕܠܫܡܝܐ‏‎;of the readings of the Feast of the Ascension of our Lord into Heaven;in margin (later hand): ܕܝܘܡ ܚܕ ܬܐܣܥܘܕ (of the First Day ..);Of the First Day (..?);114a;0;5;114a;0;6;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0231;https://digi.vatlib.it/view/MSS_Vat.sir.24/0231;13l06;114a;0;6;115a;0;2.;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0136;Acts#01:01-14.;‎‏ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ;;Acts of the Apostles;;;115a;;0;3;115a;0;3;‎‏ܕܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܣܘܠܩܗ ܕܡܪܢ ܕܠܫܡܝܐ‏‎;of the readings of the Feast of the Ascension of our Lord into Heaven;in margin (later hand): ܕܝܘܡ ܚܕ ܬܐܣܥܘܕ (of the First Day ..);Of the First Day (..?);114a;0;5;114a;0;6;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0233;https://digi.vatlib.it/view/MSS_Vat.sir.24/0233;13l06;115a;0;3;115b;0;20;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0100;Js#22:21-29.;ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ;;The Book of Joshua bar Nun;;;089a;;0;19;089a;0;19;ܕܬܪܝܢܒܫܒܐ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕܨܘܡܐ ܪܒܐ;of the Second (Day) of the Week, of the Last Week of the Great Fast;;;088a;0;17;088a;0;18;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0181;https://digi.vatlib.it/view/MSS_Vat.sir.24/0181;13l06;089a;0;19;090a;0;4;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0079;Gn#12:01-09.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;071a;;0;5;071a;0;6;ܕܬܪܝܢܒܫܒܐ ܡܨܥܝܐ ܕܨܘܡܐ ܪܒܐ܀;of the Second (Day) of the Week, of the Middle of the Great Fast;;;071a;0;5;071a;0;5;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0145;https://digi.vatlib.it/view/MSS_Vat.sir.24/0145;13l06;071a;0;5;071b;0;5;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0080;Js#07:16-26.;ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ;;The Book of Joshua bar Nun;;;071b;;0;6;071b;0;6;ܕܬܪܝܢܒܫܒܐ ܡܨܥܝܐ ܕܨܘܡܐ ܪܒܐ܀;of the Second (Day) of the Week, of the Middle of the Great Fast;;;071a;0;5;071a;0;5;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0146;https://digi.vatlib.it/view/MSS_Vat.sir.24/0146;13l06;071b;0;6;072a;0;16;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0039;Gn#18:20-33.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;035b;;0;21;035b;0;22;ܕܬܪܝܢܒܫܒܐ ܕܒܥܘܬܐ ܕܢܝܢܘܐ+;of the Second (Day) of the Week, of the Rogation of Nineveh;;;035b;0;21;035b;0;21;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0074;https://digi.vatlib.it/view/MSS_Vat.sir.24/0074;13l06;035b;0;21;036b;0;6.;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0040;Is#63:17-64:11.;ܨܠܘܬܗ ܕܐܫܥܝܐ;;The Prayer of Isaiah;;;036b;;0;7;036b;0;7;ܕܬܪܝܢܒܫܒܐ ܕܒܥܘܬܐ ܕܢܝܢܘܐ+;of the Second (Day) of the Week, of the Rogation of Nineveh;;;035b;0;21;035b;0;21;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0076;https://digi.vatlib.it/view/MSS_Vat.sir.24/0076;13l06;036b;0;7;037a;0;12;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0099;Gn#37:01-22.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;088a;;0;18;088a;0;18.;ܕܬܪܝܢܒܫܒܐ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕܨܘܡܐ ܪܒܐ;of the Second (Day) of the Week, of the Week of Weeks;;;088a;0;17;088a;0;18;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0179;https://digi.vatlib.it/view/MSS_Vat.sir.24/0179;13l06;088a;0;18;089a;0;18;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0061;Gn#01:20-02:07.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;053b;;0;24;054a;0;1;ܕܬܠܬܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܪܒܐ.;of the Third (Day) of the Week, of the First Week of the Great Fast;;;053b;0;23;053b;0;24;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0110;https://digi.vatlib.it/view/MSS_Vat.sir.24/0110;13l06;053b;0;24[ult];055a;0;1;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0062;Js#01:12-02:11.;ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ;;The Book of Joshua bar Nun;;;055a;;0;1;055a;0;2;ܕܬܠܬܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܪܒܐ.;of the Third (Day) of the Week, of the First Week of the Great Fast;;;053b;0;23;053b;0;24;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0113;https://digi.vatlib.it/view/MSS_Vat.sir.24/0113;13l06;055a;0;1;056a;0;5;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0101;Gn#37:23-36.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;090a;;0;6;090a;0;7;ܕܬܠܬܒܫܒܐ ܕܫܒܬܐ ܐܚ̄ܪܝܬܐ ܕܨܘܡܐ;of the Third (Day) of the Week, of the Last Week of the Fast;;;090a;0;5;090a;0;6;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0183;https://digi.vatlib.it/view/MSS_Vat.sir.24/0183;13l06;090a;0;6;090b;0;13;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0102;Js#22:30-23:01a.;ܟܬܒܐ ܕܝܫܘܥܒܪܢܘܢ.;;The Book of Joshua bar Nun;;;090b;;0;13;090b;0;14;ܕܬܠܬܒܫܒܐ ܕܫܒܬܐ ܐܚ̄ܪܝܬܐ ܕܨܘܡܐ;of the Third (Day) of the Week, of the Last Week of the Fast;;;090a;0;5;090a;0;6;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0184;https://digi.vatlib.it/view/MSS_Vat.sir.24/0184;13l06;090b;0;13;091a;0;11;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0081;Gn#12:10-13:07.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;072a;;0;17;072a;0;18;ܕܬܠܬܒܫܒܐ ܡܨܥܝܐ ܕܨܘܡܐ;of the Third (Day) of the Week, of the Middle of the Fast;;;072a;0;17;072a;0;17;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0147;https://digi.vatlib.it/view/MSS_Vat.sir.24/0147;13l06;072a;0;17;073a;0;8;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0082;Js#08:01-17.;ܟܬܒܐ ܕܝܫܘܥ ܒܪܢܘܢ;;The Book of Joshua bar Nun;;;073a;;0;9;073a;0;9;ܕܬܠܬܒܫܒܐ ܡܨܥܝܐ ܕܨܘܡܐ;of the Third (Day) of the Week, of the Middle of the Fast;;;072a;0;17;072a;0;17;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0149;https://digi.vatlib.it/view/MSS_Vat.sir.24/0149;13l06;073a;0;9;074a;0;14;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0041;Is#59:01-04a.+09-18a.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ;;The Prophecy of Isaiah;;;037a;;0;14;037a;0;14;ܕܬܠܬ ܏ܒܫܒ܀ ܕܒܥܘܬܐ ܕܢܝܢܘܐ;of the Third (Day) of the Week, of the Rogation of Nineveh;;;037a;0;13;037a;0;13.;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0077;https://digi.vatlib.it/view/MSS_Vat.sir.24/0077;13l06;037a;0;14;037b;0;19;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0042;Hb#03:01-19.;ܨܠܘܬܗ ܕܚܒܩܘܩ.;;The Prayer of Habakkuk;;;037b;;0;19;037b;0;19.;ܕܬܠܬ ܏ܒܫܒ܀ ܕܒܥܘܬܐ ܕܢܝܢܘܐ;of the Third (Day) of the Week, of the Rogation of Nineveh;;;037a;0;13;037a;0;13.;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0078;https://digi.vatlib.it/view/MSS_Vat.sir.24/0078;13l06;037b;0;19;038b;0;10;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0115;Is#61:01-09.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ;;The Prophecy of Isaiah;;;101b;;0;8;101b;0;8;‎‏ܕܬܠܬ ܒܫܒܐ ܕܫܒܬ ܫܒ̈ܐ‏‎;of the Third (Day) of the Week, of the Week of Weeks;;;101b;0;7;101b;0;8;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0206;https://digi.vatlib.it/view/MSS_Vat.sir.24/0206;13l06;101b;0;8;102a;0;10;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0116;Acts#02:37-47.;‎‏ ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ‏;;Acts of the Apostles;;;102a;;0;11;102a;0;11;‎‏ܕܬܠܬ ܒܫܒܐ ܕܫܒܬ ܫܒ̈ܐ‏‎;of the Third (Day) of the Week, of the Week of Weeks;;;101b;0;7;101b;0;8;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0207;https://digi.vatlib.it/view/MSS_Vat.sir.24/0207;13l06;102a;0;11;102b;0;14;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0013;Ex#15:11-21.+Jr#31:13-17.+ܡܛܠ ܕܡܪܝܐ ܡܠܠ..+Mi#06:01-05.;ܡܦܩܢܐ ܣܦܪܐ ܕܬܪܝܢ ܕܐܘܪܝܬܐ;;Exodus, the Second Book of the Law;;;012b;;0;13;012b;0;14;ܩܪ̈ܝܢܐ ܕܕܘܟܪܢܗ̇ ܕܛܘܒܢܝܬܐ ܡܪܬܝ ܡܪܝܡ;readings of the Commemoration of the our Lady, the Blessed Mary;in margin: ܝܘܡ ܚܕ ܬܐ[...] ܡܪܝܡ (the Day of the .. Mary);The Day of the .. Mary.;012b;0;12;012b;0;13;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0028;https://digi.vatlib.it/view/MSS_Vat.sir.24/0028;13l06;012b;0;13;013b;0;17;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0014;Acts#01:01-14.;‎‏ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ;;Acts of the Apostles;;;013b;;0;17;013b;0;18;ܩܪ̈ܝܢܐ ܕܕܘܟܪܢܗ̇ ܕܛܘܒܢܝܬܐ ܡܪܬܝ ܡܪܝܡ;readings of the Commemoration of the our Lady, the Blessed Mary;in margin: ܝܘܡ ܚܕ ܬܐ[...] ܡܪܝܡ (the Day of the .. Mary);The Day of the .. Mary.;012b;0;12;012b;0;13;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0030;https://digi.vatlib.it/view/MSS_Vat.sir.24/0030;13l06;013b;0;17;014b;0;2;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0053;Ez#37:01-14.;ܢܒܝܘܬܗ ܕܚܙܩܝܐܝܠ.;;The Prophecy of Ezekiel;;;047a;;0;21;047a;0;21;ܩܪ̈ܝܢܐ ܕܥܪܘܒܬܐ ܕܥܢ̈ܝܕܐ;readings of the Eve of Preparation, of the Departed;;;047a;0;20;047a;0;20.;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0097;https://digi.vatlib.it/view/MSS_Vat.sir.24/0097;13l06;047a;0;21;048a;0;7;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0054;Sir#44:01-45:05/06.;ܚܟܡܬܐ ܕܒܪ ܣܝܪܐ;;Wisdom of Ben Sira;;;048a;;0;7;048a;0;8;ܩܪ̈ܝܢܐ ܕܥܪܘܒܬܐ ܕܥܢ̈ܝܕܐ;readings of the Eve of Preparation, of the Departed;;;047a;0;20;047a;0;20.;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0099;https://digi.vatlib.it/view/MSS_Vat.sir.24/0099;13l06;048a;0;7;049a;0;7.;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0009;Is#07:10-16a.+ܡܛܠ ܕܥܕܠܐ ܢܕܥ ܛܠܝܐ ܠܡܣܠܝܘ ܒܝܫܬܐ ܘܠܡܓܒܐ ܛܒܬܐ܆ ܢܣܠܐ ܒܝܫܬܐ ܘܢܓܐ ܠܗ ܛܒܬܐ.+08:08b-10.+08:16-18.+08:23(הקל‎/ܣܪܗܒܬ)-09:02.+09:05-06.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ;;The Prophecy of Isaiah;;;009b;;0;19;009b;0;19.;ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܒܝܬ ܝܠܕܗ ܕܡܪܢ܀;readings of the Feast of the Birth of our Lord;;;009b;0;18;009b;0;19;;13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0022;https://digi.vatlib.it/view/MSS_Vat.sir.24/0022;13l06;009b;0;19;010b;0;5;;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
